Activ;Type;Name;DisplayName;Description;Alias;Visibility;DanymicRule;Licenses;WelcomeMessageEnabled
Yes;SecurityGroup;ALYASG-ADM-MFADISABLED;ALYASG-ADM-MFADISABLED;MFA is disabled for members in this group;ALYASG-ADM-MFADISABLED;Private;;;FALSCH
Yes;SecurityGroup;ALYASG-ADM-O365GROUPMANAGERS;ALYASG-ADM-O365GROUPMANAGERS;Members of this group can manage O365 groups;ALYASG-ADM-O365GROUPMANAGERS;Private;;;FALSCH
Yes;O365Group;ALYAOG-ADM-AlleInternen;ALYAOG-ADM-AlleInternen;Holds all internal users;ALYAOG-ADM-AlleInternen;Private;"(user.userType -eq ""User"")";;FALSCH
Yes;O365Group;ALYAOG-ADM-AlleExternen;ALYAOG-ADM-AlleExternen;Holds all external users;ALYAOG-ADM-AlleExternen;Private;"(user.userType -eq ""Guest"")";;FALSCH
No;SecurityGroup;ALYASG-ADM-DEVICEADMINS;ALYASG-ADM-DEVICEADMINS;Members of this group can register devices;ALYASG-ADM-DEVICEADMINS;Private;;;FALSCH
No;SecurityGroup;ALYASG-ADM-DEVICE-STANDARD;ALYASG-ADM-DEVICE-STANDARD;Holds all devices with a standard configuration;ALYASG-ADM-DEVICE-STANDARD;Private;"(device.deviceCategory -eq ""Standard"")";;FALSCH
No;SecurityGroup;ALYASG-ADM-LICMS365E3FULL;ALYASG-ADM-LICMS365E3FULL;Used to configure licenses;ALYASG-ADM-LICMS365E3FULL;Private;;SPE_E3;FALSCH
No;SecurityGroup;ALYASG-ADM-LICEXCHKIOSK;ALYASG-ADM-LICEXCHKIOSK;Used to configure licenses;ALYASG-ADM-LICEXCHKIOSK;Private;;EXCHANGEDESKLESS;FALSCH
No;SecurityGroup;ALYASG-ADM-LICPBIFREE;ALYASG-ADM-LICPBIFREE;Used to configure licenses;ALYASG-ADM-LICPBIFREE;Private;;POWER_BI_STANDARD;FALSCH
No;SecurityGroup;ALYASG-ADM-LICMS365BUSBASIC;ALYASG-ADM-LICMS365BUSBASIC;Used to configure licenses;ALYASG-ADM-LICMS365BUSBASIC;Private;;O365_BUSINESS_ESSENTIALS;FALSCH
No;SecurityGroup;ALYASG-ADM-LICFLOWFREE;ALYASG-ADM-LICFLOWFREE;Used to configure licenses;ALYASG-ADM-LICFLOWFREE;Private;;FLOW_FREE;FALSCH
No;SecurityGroup;ALYASG-ADM-LICSMBAPPS;ALYASG-ADM-LICSMBAPPS;Used to configure licenses;ALYASG-ADM-LICSMBAPPS;Private;;SMB_APPS;FALSCH
No;SecurityGroup;ALYASG-ADM-LICSPP1;ALYASG-ADM-LICSPP1;Used to configure licenses;ALYASG-ADM-LICSPP1;Private;;SHAREPOINTSTANDARD;FALSCH
No;SecurityGroup;ALYASG-ADM-LICVIRTPHONE;ALYASG-ADM-LICVIRTPHONE;Used to configure licenses;ALYASG-ADM-LICVIRTPHONE;Private;;PHONESYSTEM_VIRTUALUSER;FALSCH
No;SecurityGroup;ALYASG-ADM-APPTDSKTP;ALYASG-ADM-APPTDSKTP;Members of this group get specified apps asigned in WVD test;ALYASG-ADM-APPTDSKTP;Private;;;FALSCH
No;SecurityGroup;ALYASG-ADM-APPTSTD;ALYASG-ADM-APPTSTD;Members of this group get specified apps asigned in WVD test;ALYASG-ADM-APPTSTD;Private;;;FALSCH
No;SecurityGroup;ALYASG-ADM-APPTVISIO;ALYASG-ADM-APPTVISIO;Members of this group get specified apps asigned in WVD test;ALYASG-ADM-APPTVISIO;Private;;;FALSCH
No;SecurityGroup;ALYASG-ADM-APPTPRJCT;ALYASG-ADM-APPTPRJCT;Members of this group get specified apps asigned in WVD test;ALYASG-ADM-APPTPRJCT;Private;;;FALSCH
No;SecurityGroup;ALYASG-ADM-APPDSKTP;ALYASG-ADM-APPDSKTP;Members of this group get specified apps asigned;ALYASG-ADM-APPDSKTP;Private;;;FALSCH
No;SecurityGroup;ALYASG-ADM-APPSTD;ALYASG-ADM-APPSTD;Members of this group get specified apps asigned;ALYASG-ADM-APPSTD;Private;;;FALSCH
No;SecurityGroup;ALYASG-ADM-APPVISIO;ALYASG-ADM-APPVISIO;Members of this group get specified apps asigned;ALYASG-ADM-APPVISIO;Private;;;FALSCH
No;SecurityGroup;ALYASG-ADM-APPPRJCT;ALYASG-ADM-APPPRJCT;Members of this group get specified apps asigned;ALYASG-ADM-APPPRJCT;Private;;;FALSCH
